City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Kokopo,PG,2022-08-28 16:38:05,-4.352,152.2633,76.42,81,57,4.14
243,Florida,US,2022-08-28 16:34:46,28.7505,-82.5001,89.01,72,100,1.99
244,Baracoa,CU,2022-08-28 16:38:06,20.3467,-74.4958,86.74,68,94,7.94
245,Auch,FR,2022-08-28 16:38:06,43.65,0.5833,94.44,54,9,3.0
246,Presidencia Roque Saenz Pena,AR,2022-08-28 16:38:06,-26.7852,-60.4388,68.11,25,56,15.57
247,Nantucket,US,2022-08-28 16:38:06,41.2835,-70.0995,77.11,74,0,12.66
248,Coruripe,BR,2022-08-28 16:38:07,-10.1256,-36.1756,76.17,78,64,10.65
249,Kuminskiy,RU,2022-08-28 16:38:07,58.6667,66.5667,57.92,64,5,5.91
250,Pekan,MY,2022-08-28 16:38:07,3.4836,103.3996,75.31,86,92,4.14
251,Bindi,SL,2022-08-28 16:38:07,9.9167,-11.45,73.56,96,85,7.67
252,Kaitangata,NZ,2022-08-28 16:38:08,-46.2817,169.8464,38.5,94,11,3.38
253,Upernavik,GL,2022-08-28 16:38:08,72.7868,-56.1549,39.25,70,65,6.82
254,Raudeberg,NO,2022-08-28 16:38:08,61.9875,5.1352,59.67,66,3,22.48
255,Alta Floresta,BR,2022-08-28 16:38:08,-9.8756,-56.0861,96.62,34,20,5.75
256,Namibe,AO,2022-08-28 16:37:07,-15.1961,12.1522,62.35,80,24,9.62
257,Te Anau,NZ,2022-08-28 16:38:09,-45.4167,167.7167,37.92,93,47,0.81
258,Porvoo,FI,2022-08-28 16:38:09,60.3923,25.6651,73.9,84,9,10.71
259,Camocim,BR,2022-08-28 16:38:09,-2.9022,-40.8411,89.51,50,82,14.25
260,Tevaitoa,PF,2022-08-28 16:38:10,-16.7833,-151.5,76.8,75,10,9.42
261,Lisala,CD,2022-08-28 16:38:10,2.15,21.5167,73.62,87,99,1.48
262,Honningsvag,NO,2022-08-28 16:38:10,70.9821,25.9704,51.55,76,75,9.22
263,Oktyabrskiy,RU,2022-08-28 16:38:10,54.4815,53.471,70.11,50,67,4.65
264,Ziniare,BF,2022-08-28 16:38:11,12.5822,-1.2983,80.64,77,96,8.39
265,Labuhan,ID,2022-08-28 16:38:11,-6.8844,112.2051,76.44,73,94,9.6
266,Nuevo Progreso,MX,2022-08-28 16:38:11,23.1667,-97.95,93.54,53,22,5.99
267,Moscow,RU,2022-08-28 16:37:45,55.7522,37.6156,82.83,35,100,6.53
268,Makakilo City,US,2022-08-28 16:38:12,21.3469,-158.0858,76.01,83,40,6.91
